Designator,Footprint,Quantity,Value,LCSC Part #
D13,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4001,
D9,LED_D3.0mm,1,IR204A,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
JDC1,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
L2-In,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
In,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
D4,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
Q3,TO-92_Inline,1,2N3904,
Bypass,Relay_DPDT_Kemet_EC2,1,EC2-4.5NU,
Q4,TO-92_Inline,1,2N3904,
J4,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
Q2,TO-92_Inline,1,2N3904,
Loop3,Relay_DPDT_Kemet_EC2,1,EC2-4.5NU,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
C2,CP_Radial_D5.0mm_P2.50mm,1,C_Polarized_US,
D12,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
Loop1,Relay_DPDT_Kemet_EC2,1,EC2-4.5NU,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
Q1,TO-92_Inline,1,2N3904,
R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
Loop4,Relay_DPDT_Kemet_EC2,1,EC2-4.5NU,
Tuner_2,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
Tuner,Relay_DPDT_Kemet_EC2,1,EC2-4.5NU,
Q6,TO-92_Inline,1,2N3904,
L2-Out,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
L1-In,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
J56,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
L1-Out,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
D10,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
L3-Out,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
D2,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
L4-In,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
U1,TO-220-3_Vertical,1,LM7805,
R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
L4-Out,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
D3,LED_D3.0mm,1,IR204A,
J34,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
JDC2,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
C1,CP_Radial_D6.3mm_P2.50mm,1,C_Polarized_US,
Loop2,Relay_DPDT_Kemet_EC2,1,EC2-4.5NU,
D1,LED_D3.0mm,1,IR204A,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
L3-In,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
D8,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
D6,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
D7,LED_D3.0mm,1,IR204A,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
D11,LED_D3.0mm,1,IR204A,
Q5,TO-92_Inline,1,2N3904,
J12,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
Out,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,AudioJack3_SwitchSTR,
R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
D5,LED_D3.0mm,1,IR204A,
