Designator,Footprint,Quantity,Value,LCSC Part #
D13,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4001,
D9,LED_D3.0mm,1,IR204A,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
J+9,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
J6,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,L2-In,
J1,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,In,
D4,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
Q3,TO-92_Inline,1,2N3904,
K1,Relay_DPDT_Kemet_EC2,1,Bypass,
Q4,TO-92_Inline,1,2N3904,
J+5,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
Q2,TO-92_Inline,1,2N3904,
K5,Relay_DPDT_Kemet_EC2,1,Loop3,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
C2,CP_Radial_D5.0mm_P2.50mm,1,C_Polarized_US,
D12,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
K3,Relay_DPDT_Kemet_EC2,1,Loop1,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
Q1,TO-92_Inline,1,2N3904,
R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
K6,Relay_DPDT_Kemet_EC2,1,Loop4,
J3,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,Tuner,
K2,Relay_DPDT_Kemet_EC2,1,Tuner,
Q6,TO-92_Inline,1,2N3904,
J7,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,L2-Out,
J4,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,L1-In,
R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
J56,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J5,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,L1-Out,
D10,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
J9,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,L3-Out,
D2,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
J10,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,L4-In,
U1,TO-220-3_Vertical,1,7805,
R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
J11,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,L4-Out,
D3,LED_D3.0mm,1,IR204A,
J34,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
C1,CP_Radial_D6.3mm_P2.50mm,1,C_Polarized_US,
K4,Relay_DPDT_Kemet_EC2,1,Loop2,
D1,LED_D3.0mm,1,IR204A,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
J8,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,L3-In,
D8,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
D6,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
D7,LED_D3.0mm,1,IR204A,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
D11,LED_D3.0mm,1,IR204A,
Q5,TO-92_Inline,1,2N3904,
J12,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J2,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,Out,
R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_Small_US,
D5,LED_D3.0mm,1,IR204A,
